Article_Title,Article_Link,Date,Topic
Bandits kill over 155 villagers in Nigeria,https://nation.africa/kenya/news/africa/fleeing-bandits-kill-over-155-villagers-in-nigeria-3675960,1/10/2022,Terrorism
" Make data on oil and other revenues public, Troika tells South Sudan",https://www.theeastafrican.co.ke/tea/business/troika-wants-kiir-to-make-oil-revenues-data-public-3677170,1/10/2022,Money-Laundering
" China, US up stakes in troubled Horn with special envoys",https://www.theeastafrican.co.ke/tea/rest-of-africa/china-us-up-stakes-troubled-horn-with-special-envoys-3675756,1/10/2022,Terrorism
" War against poaching boosted with acquisition of 5 motor vehicles, 20 motorbikes ",https://www.kbc.co.ke/war-against-poaching-boosted-with-acquisition-of-5-motor-vehicles20-motorbikes/,1/11/2022,Trafficking
 Coast RC and Lamu leaders hold meeting to resolve insecurity ,https://www.kbc.co.ke/coast-rc-and-lamu-leaders-hold-meeting-to-resolve-insecurity/,1/11/2022,Terrorism
"How Thugs Ambushed, Overpowered & Killed 4 Police Officers on Duty",https://www.kenyans.co.ke/news/72186-how-thugs-ambushed-overpowered-killed-4-police-officers-duty,1/11/2022,Terrorism
"US Downgrades Kenya, Issues New Travel Advisory",https://www.kenyans.co.ke/news/72173-us-downgrades-kenya-issues-new-travel-advisory,1/11/2022,Terrorism
Farmaajo backs PM-led programme to reschedule polls,https://nation.africa/kenya/news/africa/farmaajo-backs-pm-led-programme-to-reschedule-polls-3678744,1/11/2022,Terrorism
Four officers killed in Garissa bandit attack,https://nation.africa/kenya/counties/garissa/four-officers-killed-in-garissa-bandit-attack-3678492,1/11/2022,Terrorism
Two more killed in suspected Shabaab attack,https://nation.africa/kenya/counties/lamu/two-killed-in-suspected-shabaab-attack-bringing-number-to-13-3677704,1/11/2022,Terrorism
Dozens flee deadly Lamu attacks,https://nation.africa/kenya/counties/lamu/dozens-flee-deadly-lamu-attacks-3677598,1/11/2022,Terrorism
"Lamu: 2 Killed, Houses Set on Fire In Another Night Attack Despite Existing Curfew",https://www.tuko.co.ke/kenya/counties/439466-2-killed-houses-set-fire-in-another-night-attack-lamu/,1/11/2022,Terrorism
 Leakey: 'The only thing I knew was bones',https://www.theeastafrican.co.ke/tea/magazine/leakey-the-only-thing-i-knew-was-bones-3677452,1/11/2022,Poaching
 Govt keen on enhancing efficiency at the Port of Mombasa ,https://www.kbc.co.ke/govt-keen-on-enhancing-efficiency-at-the-port-of-mombasa/,1/12/2022,Terrorism
"Jobs, terrorism, national debt top business risks",https://www.businessdailyafrica.com//bd/economy/jobs-terrorism-national-debt-top-business-risks-3678898,1/12/2022,Terrorism
WACHIRA: How Africa can navigate the China vs West devide,https://www.businessdailyafrica.com//bd/opinion-analysis/ideas-debate/how-africa-can-navigate-the-china-vs-west-devide-3679168,1/12/2022,Terrorism
Gov’t keen on enhancing efficiency at Port of Mombasa,https://www.kenyanews.go.ke/govt-keen-on-enhancing-efficiency-at-port-of-mombasa/,1/12/2022,Terrorism
Njonjo’s role in averting Jaramogi ‘coup plot’ against Jomo,https://nation.africa/kenya/news/njonjo-s-role-in-averting-jaramogi-coup-plot-against-jomo-3679400,1/12/2022,Smuggling
How Kenya has remained resilient despite terror attacks,https://www.the-star.co.ke/news/2022-01-12-how-kenya-has-remained-resilient-despite-terror-attacks/,1/12/2022,Terrorism
e-paper: Why Kenya is in perennial aviation tiff with UAE,https://www.the-star.co.ke/business/kenya/2022-01-12-e-paper-why-kenya-is-in-perennial-aviation-tiff-with-uae/,1/12/2022,Terrorism
 Family: Freed Guantanamo terror suspect should not face restrictions in Kenya ,https://www.kbc.co.ke/family-freed-guantanamo-terror-suspect-should-not-face-restrictions-in-kenya/,1/13/2022,Terrorism
 DCI releases list of eight most wanted terror suspects ,https://www.kbc.co.ke/dci-releases-list-of-eight-most-wanted-terror-suspects/,1/13/2022,Terrorism
 Government resettlement project brings hope to displaced Laikipia families ,https://www.kbc.co.ke/government-resettlement-project-brings-hope-to-displaced-laikipia-families/,1/13/2022,Terrorism
 Prince Andrew to face civil sex assault case after US ruling ,https://www.kbc.co.ke/prince-andrew-to-face-civil-sex-assault-case-after-us-ruling/,1/13/2022,Trafficking
"Ex-Dubai bank chair, former KQ bosses charged over Sh0.5bn theft",https://www.businessdailyafrica.com//bd/economy/ex-dubai-bank-chair-former-kq-bosses-over-sh0-5bn-theft-3679122,1/13/2022,Money-Laundering
Dirty cash: Court stops lawyers from disclosing deals,https://www.businessdailyafrica.com//bd/economy/court-suspends-law-that-compels-advocates-financial-deals-3680222,1/13/2022,Money-Laundering
CEOs Reveal 5 Biggest Risks Kenyans Face,https://www.kenyans.co.ke/news/72238-ceos-reveal-5-biggest-risks-kenyans-face,1/13/2022,Terrorism
Natembeya's encounter with Michuki over ‘Chinese goodies’,https://nation.africa/kenya/news/natembeya-s-encounter-with-michuki-over-chinese-goodies-3680422,1/13/2022,Terrorism
Bandits kill 52 people in North Central Nigeria ,https://nation.africa/kenya/news/africa/bandits-kill-52-people-in-nigeria-3681008,1/13/2022,Terrorism
Burkina Faso probes claims of coup plot,https://nation.africa/kenya/news/africa/burkina-faso-probes-claims-of-coup-plot-3680562,1/13/2022,Terrorism
Al-Shabaab strikes Mogadishu again ,https://nation.africa/kenya/news/africa/al-shabaab-strikes-mogadishu-again-amid-surge-in-crime--3680360,1/13/2022,Terrorism
Victims of Lamu attacks buried,https://nation.africa/kenya/counties/lamu/victims-of-lamu-attacks-buried-under-tight-security-3680200,1/13/2022,Terrorism
State begins crackdown on fake vehicle number plates,https://nation.africa/kenya/counties/trans-nzoia/state-begins-crackdown-on-fake-vehicle-number-plates-3679988,1/13/2022,Trafficking
Remains of 2 men abducted by suspected militants found,https://www.the-star.co.ke/news/2022-01-13-remains-of-two-men-abducted-by-suspected-shabaab-militants-in-lamu-found-in-forest/,1/13/2022,Terrorism
Security operations ramped up ahead of DusitD2 anniversary,https://www.the-star.co.ke/news/2022-01-13-security-operations-ramped-up-ahead-of-dusitd2-third-anniversary/,1/13/2022,Terrorism
Is terror-prone January jinxed?,https://www.the-star.co.ke/news/big-read/2022-01-13-is-terror-prone-january-jinxed/,1/13/2022,Terrorism
 SADC extends troop deployment in Mozambique,https://www.theeastafrican.co.ke/tea/rest-of-africa/sadc-extends-troop-deployment-mozambique-3680758,1/13/2022,Terrorism
 Burkina Faso launches probe into coup attempt claims,https://www.theeastafrican.co.ke/tea/rest-of-africa/burkina-faso-probes-claims-of-coup-plot-3680578,1/13/2022,Terrorism
Several killed in jihadist-claimed blast in Somalia,https://www.theeastafrican.co.ke/tea/rest-of-africa/several-killed-in-jihadist-claimed-blast-in-somali-capital-3680036,1/13/2022,Terrorism
"Kenyan, Somali to be released from Guantanamo Bay",https://www.theeastafrican.co.ke/tea/news/east-africa/kenyan-somali-national-to-be-released-from-guantanamo-bay-3679888,1/13/2022,Terrorism
" Most wanted terror suspect surrenders in Nyeri, pleads innocence ",https://www.kbc.co.ke/most-wanted-terror-suspect-surrenders-in-nyeri-pleads-innocence/,1/14/2022,Terrorism
 Prince Andrew loses military titles and use of HRH ,https://www.kbc.co.ke/prince-andrew-loses-military-titles-and-use-of-hrh/,1/14/2022,Trafficking
Violence Breaks Out at Kamiti Prison [VIDEO],https://www.kenyans.co.ke/news/72266-violence-breaks-out-kamiti-prison-video,1/14/2022,Terrorism
Youth on DCI's Most Wanted List Surrenders,https://www.kenyans.co.ke/news/72264-youth-dcis-most-wanted-list-surrenders,1/14/2022,Terrorism
"Inside Uhuru, Raila Lunch With MPs at State House",https://www.kenyans.co.ke/news/72258-inside-uhuru-raila-lunch-mps-state-house,1/14/2022,Money-Laundering
"Azimio: Uhuru, Raila rally handshake MPs",https://nation.africa/kenya/news/politics/uhuru-kenyatta-set-to-play-active-role-in-azimio-politics-3681742,1/14/2022,Money-Laundering
"Autopsy shows drug suspect sought by Interpol was tortured, ...",https://www.the-star.co.ke/news/2022-01-13-autopsy-shows-drugs-suspect-sought-by-interpol-was-tortured-strangled-to-death/,1/14/2022,Trafficking
Kamiti Inmates Climb on Top of Prison Buildings as They Protest Against Mistreat...,https://www.tuko.co.ke/kenya/counties/439973-kamiti-inmates-climb-top-prison-buildings-they-protest-against-mistreatment/,1/14/2022,Terrorism
Nairobi: 3 Cameroonian Wash Wash Specialists Conning City Investors Arrested,https://www.tuko.co.ke/kenya/439983-nairobi-3-cameroonian-wash-wash-specialists-conning-city-investors-arrested/,1/14/2022,Money-Laundering
"OKA principals snub Uhuru, Raila meeting with pro-handshake MPs  ",https://www.standardmedia.co.ke/politics/article/2001434364/oka-principals-snub-uhuru-raila-meeting-with-pro-handshake-mps,1/14/2022,Money-Laundering
 Coast RC orders re-opening of schools as police restore normalcy in Lamu ,https://www.kbc.co.ke/coast-rc-orders-re-opening-of-schools-as-police-restore-normalcy-in-lamu/,1/17/2022,Terrorism
 Two teens held in UK over Texas synagogue siege ,https://www.kbc.co.ke/two-teens-held-in-uk-over-texas-synagogue-siege/,1/17/2022,Terrorism
Wanted Mombasa White Widow Forced to Flee After Divorce From Al Shabaab Lover,https://www.kenyans.co.ke/news/72316-wanted-mombasa-white-widow-forced-flee-after-divorce-al-shabaab-lover,1/17/2022,Terrorism
Nation Journalist Detained in Ethiopia Freed,https://www.kenyans.co.ke/news/72311-nmg-journalist-tesfa-alem-tekle-detained-ethiopia-freed,1/17/2022,Terrorism
Murang’a’s ‘Kinjekitile’ jailed for two years,https://nation.africa/kenya/counties/muranga/murang-kinjekitile-jailed-for-two-years-3684604,1/17/2022,Drug-Trafficking
Somali govt spokesman wounded in attack,https://nation.africa/kenya/news/africa/somali-govt-spokesman-wounded-in-attack-3684256,1/17/2022,Terrorism
Inside Lamu killing fields,https://nation.africa/kenya/counties/lamu/inside-lamu-killing-fields-3684072,1/17/2022,Terrorism
Police arrest Nyeri man in terror photo,https://nation.africa/kenya/counties/nyeri/police-arrest-nyeri-man-in-terror-photo-3682844,1/17/2022,Terrorism
OKA: A rolling comedy of errors,https://nation.africa/kenya/news/politics/oka-a-rolling-comedy-of-errors-as-musalia-no-show-3682956,1/17/2022,Poaching
Why Nigerians are buying sanitary pads in packs of two,https://www.the-star.co.ke/news/2022-01-17-nigerias-economy-why-people-are-buying-sanitary-pads-in-packs-of-two/,1/17/2022,Smuggling
Tourism potential in Baringo a tip of Kenya’s unique brand,https://www.the-star.co.ke/opinion/columnists/2022-01-16-tourism-potential-in-baringo-county-a-tip-of-kenyas-unique-brand/,1/17/2022,Terrorism
 Court to hear appeal against ‘Hotel Rwanda’ hero's prison sentence,https://www.theeastafrican.co.ke/tea/news/east-africa/appeal-against-hotel-rwanda-hero-prison-sentence-3684720,1/17/2022,Terrorism
" Leakey was larger than life; carved his name on hearts, not tombstones",https://www.theeastafrican.co.ke/tea/oped/comment/leakey-was-larger-than-life-3682598,1/17/2022,Poaching
 WildlifeDirect boss Paula Kahumbu joins NatGeo board,https://www.theeastafrican.co.ke/tea/science-health/wildlifedirect-boss-paula-kahumbu-joins-natgeo-board-3682406,1/17/2022,Poaching
Ethiopia frees Nation journalist Tesfa-Alem,https://www.theeastafrican.co.ke/tea/rest-of-africa/ethiopia-frees-detained-journalist-tesfa-alem-3683840,1/17/2022,Terrorism
 Inside 5 Page Suicide Note Left Behind by KDF Soldier's Wife,https://www.kenyans.co.ke/news/72355-inside-five-page-suicide-note-left-behind-kdf-soldiers-wife,1/18/2022,Terrorism
Armed police raid Jimi Wanjigi's offices in Westlands,https://www.the-star.co.ke/news/2022-01-17-armed-police-raid-jimi-wanjigis-offices-in-westlands/,1/18/2022,Smuggling
Puzzle of Shabaab resurgence amid Lamu security operation,https://www.the-star.co.ke/news/big-read/2022-01-18-puzzle-of-shabaab-resurgence-amid-lamu-security-operation/,1/18/2022,Terrorism
15 al-Shabaab militants killed in Lamu,https://www.the-star.co.ke/news/2022-01-17-15-al-shabaab-militants-killed-in-lamu-by-kenyan-forces/,1/18/2022,Terrorism
Withdraw KDF or negotiate with Shabaab?,https://www.the-star.co.ke/news/big-read/2022-01-18-withdraw-troops-or-talk-to-al-shabaab/,1/18/2022,Terrorism
 Court adjourns appeal hearing in ‘Hotel Rwanda’ hero case,https://www.theeastafrican.co.ke/tea/news/east-africa/court-adjourns-appeal-hearing-in-hotel-rwanda-hero-case-3685720,1/18/2022,Terrorism
 Why people in Nigeria are buying sanitary pads in packs of two ,https://www.kbc.co.ke/why-people-in-nigeria-are-buying-sanitary-pads-in-packs-of-two/,1/18/2022,Smuggling
Natembeya's Replacement Talks Tough After Taking Over,https://www.kenyans.co.ke/news/72382-natembeyas-replacement-talks-tough-after-taking-over,1/19/2022,Terrorism
The Ogieks' battle to return to forests,https://nation.africa/kenya/news/the-ogieks-battle-to-return-to-forests-3686612,1/19/2022,Poaching
Njeri Rugene: Let’s be more vigilant to deal with child labour,https://nation.africa/kenya/blogs-opinion/opinion/let-s-be-more-vigilant-to-deal-with-trafficking-in-child-labour-at-home-3686450,1/19/2022,Trafficking
DCI dispatched to River Yala to probe 19 unclaimed bodies,https://www.the-star.co.ke/news/2022-01-19-dci-dispatched-to-river-yala-to-probe-19-unclaimed-bodies/,1/19/2022,Terrorism
Police to seek 21 days to detain KPLC managers,https://www.the-star.co.ke/news/2022-01-19-police-to-seek-21-days-to-detain-kplc-managers-over-power-outage/,1/19/2022,Terrorism
 Appeal in ‘Hotel Rwanda’ hero case to proceed in Rusesabagina’s absence,https://www.theeastafrican.co.ke/tea/news/east-africa/appeal-in-hotel-rwanda-hero-case-to-proceed-3686780,1/19/2022,Terrorism
"UAE, Washington condemn deadly Houthi attack on Abu Dhabi",https://www.theeastafrican.co.ke/tea/news/world/deadly-attack-on-abu-dhabi-3685954,1/19/2022,Terrorism
 10 Kenya Power managers detained for 8 days pending investigations ,https://www.kbc.co.ke/10-kenya-power-managers-detained-for-8-days-pending-investigations/,1/20/2022,Terrorism
" One thug shot dead, five others injured in Githurai 44 ",https://www.kbc.co.ke/one-thug-shot-dead-five-others-injured-in-githurai-44/,1/20/2022,Terrorism
Alarm over child porn syndicate linked to house helps,https://nation.africa/kenya/news/alarm-over-child-porn-syndicate-linked-to-house-helps--3687686,1/20/2022,Trafficking
Court rules Nnamdi Kanu’s 2017 arrest was illegal,https://nation.africa/kenya/news/africa/court-rules-nnamdi-kanu-s-2017-arrest-was-illegal-charges-to-continue-3687476,1/20/2022,Terrorism
Kenya Power staff to face terror-related charges over outage,https://www.the-star.co.ke/news/2022-01-19-kenya-power-staff-to-face-terror-related-charges-over-outage/,1/20/2022,Terrorism
"Appeal in 'Hotel Rwanda' hero's case can proceed without him, judge rules ",https://www.standardmedia.co.ke/africa/article/2001434967/appeal-in-hotel-rwanda-heros-case-can-proceed-without-him-judge-rules,1/20/2022,Terrorism
" Bandits kill 200 people, injure 300 others in Nigeria’s Niger state",https://www.theeastafrican.co.ke/tea/rest-of-africa/bandits-kill-200-people-injure-300-in-nigeria-s-niger-state-3687114,1/20/2022,Terrorism
 Infant among four bodies found near US-Canada border ,https://www.kbc.co.ke/infant-among-four-bodies-found-near-us-canada-border/,1/21/2022,Smuggling
"Pain, Agony as Families Positively Identify Kin Retrieved from River Yala",https://www.kenyans.co.ke/news/72462-pain-agony-families-positively-identify-kin-retrieved-river-yala,1/21/2022,Terrorism
How Govt Freezes Money Hidden in Offshore Accounts,https://www.kenyans.co.ke/news/72437-how-govt-freezes-money-hidden-offshore-accounts,1/21/2022,Terrorism
Bogonko’s family at pain eight years later as brother is buried ,https://www.standardmedia.co.ke/national/article/2001435045/bogonkos-family-at-pain-eight-years-later-as-brother-is-buried,1/21/2022,Terrorism
 Police probe Al Shabaab terrorist cells in Kwale ,https://www.standardmedia.co.ke/coast/article/2001435071/police-probe-al-shabaab-terrorist-cells-in-kwale,1/21/2022,Terrorism
 Al-Shabab leader arrested in Mozambique,https://www.theeastafrican.co.ke/tea/rest-of-africa/al-shabab-leader-arrested-in-mozambique-3688424,1/21/2022,Terrorism
 Hoteliers upbeat tourism in Lamu on road to recovery despite attacks ,https://www.standardmedia.co.ke/coast/article/2001435472/hoteliers-upbeat-tourism-in-lamu-on-road-to-recovery-despite-attacks,1/25/2022,Terrorism
 Police in Uganda ask citizens to remain vigilant as curfew is lifted,https://www.theeastafrican.co.ke/tea/news/east-africa/police-in-uganda-citizens-remain-vigilant-curfew-lifted-3693278,1/25/2022,Terrorism
" FAO warns Kenya, Addis to watch out for locusts in northeast Somalia",https://www.theeastafrican.co.ke/tea/science-health/fao-warns-kenya-addis-watch-locusts-northeast-somalia-3690564,1/25/2022,Terrorism
Somalia lifts terror tag on Ethiopian group,https://www.theeastafrican.co.ke/tea/news/east-africa/somalia-lifts-terror-tag-on-ethiopian-group-3691886,1/25/2022,Terrorism
Nandi Farmer Loses KSh 120k in a Day after KPLC Disconnected Electricity at His...,https://www.tuko.co.ke/business-economy/440854-nandi-farmer-loses-ksh-120k-a-day-kplc-disconnected-electricity-home-removed-wires/,1/25/2022,Terrorism
Political Bigwigs Fighting to Save Careers as Uhuru Seeks to End Culture of Impunity,https://www.tuko.co.ke/politics/441079-political-bigwigs-fighting-save-careers-uhuru-seeks-culture-impunity/,1/25/2022,Money-Laundering
23 Graft Cases Concluded Since Start of Uhuru’s Anti-Corruption Crackdown,https://www.tuko.co.ke/politics/441059-a-list-23-cases-concluded-start-uhurus-anti-corruption-crackdown/,1/25/2022,Money-Laundering
Appeals court upholds conviction of notorious drug kingpin 'El Chapo',https://citizen.digital/news/appeals-court-upholds-conviction-of-notorious-drug-kingpin-el-chapo-n291037,1/26/2022,Trafficking
Russia adds Navalny to list of ‘terrorists’,https://citizen.digital/news/russia-adds-navalny-to-list-of-terrorists-n291036,1/26/2022,Terrorism
Security chiefs summoned over crackdown on vandals,https://www.the-star.co.ke/news/2022-01-26-security-chiefs-summoned-over-crackdown-on-vandals-scrap-metal-dealers/,1/26/2022,Terrorism
Park visits rise as more Kenyans embrace ...,https://www.the-star.co.ke/business/kenya/2022-01-25-park-visits-rise-as-kenyans-embrace-domestic-tourism/,1/26/2022,Poaching
Morans assemble for training at Nyayo today ahead of World ...,https://www.the-star.co.ke/sports/basketball/2022-01-26-morans-assemble-for-training-at-nyayo-today-ahead-of-world-cup-qualifiers/,1/26/2022,Terrorism
CBK fails to implement Uhuru cash directive three months on,https://www.businessdailyafrica.com//bd/economy/cbk-fails-to-implement-uhuru-cash-directive-three-months-on-3694130,1/26/2022,Money-Laundering
Kenyan wanted in US over dirty money to be held in custody,https://www.businessdailyafrica.com//bd/economy/kenyan-wanted-in-us-over-dirty-money-to-be-held-custody-3693978,1/26/2022,Money-Laundering
ARA wants Sh3.1m found hidden in Nigerian's jacket forfeited to State,https://www.businessdailyafrica.com//bd/economy/a-sh3-1m-found-hidden-in-nigerian-s-jacket-forfeited-to-state-3693142,1/26/2022,Smuggling
Human trafficking mission ends in death,https://nation.africa/kenya/counties/muranga/human-trafficking-mission-ends-in-death-3693186,1/26/2022,Trafficking
Kaltum Guyo: Lamu operation hurting tourism,https://nation.africa/kenya/blogs-opinion/opinion/lamu-operation-hurting-tourism-3691620,1/26/2022,Terrorism
EDITORIAL: Heed CBK advice on KYC,https://www.businessdailyafrica.com//bd/opinion-analysis/editorials/heed-cbk-advice-on-kyc-3695462,1/27/2022,Money-Laundering
"Vehicle Carrying Judge, Police & Court Employees Sprayed With Bullets",https://www.kenyans.co.ke/news/72609-vehicle-carrying-police-judiciary-officials-sprayed-bullets,1/27/2022,Terrorism
Suspects Wanted in UK Murder Nabbed in Kilimani,https://www.kenyans.co.ke/news/72601-suspects-wanted-uk-murder-nabbed-kilimani,1/27/2022,Trafficking
 Kenya condemns terrorist attacks against civilians in Afghanistan ,https://www.kbc.co.ke/kenya-condemns-terrorist-attacks-against-civilians-in-afghanistan/,1/27/2022,Terrorism
One in 10 police suffering from mental health problems,https://nation.africa/kenya/news/one-in-10-police-suffering-from-mental-health-problems-3695602,1/27/2022,Terrorism
Sh100m puzzle: Who’s the real Felister Njoroge?,https://nation.africa/kenya/news/sh100m-puzzle-who-s-the-real-felister-njoroge-3695634,1/27/2022,Money-Laundering
Driver who died in human trafficking case was KDF soldier: Police,https://nation.africa/kenya/counties/muranga/driver-who-died-in-human-trafficking-case-was-kdf-soldier-police-3694988,1/27/2022,Trafficking
Murder suspects wanted in UK arrested after escaping to Kenya,https://www.pulselive.co.ke/news/dci-arrests-murder-suspects-wanted-in-uk-after-they-escaped-into-kenya/20gq70h,1/27/2022,Trafficking
 Kenyan wanted in US over dirty money to be held in custody,https://www.theeastafrican.co.ke/tea/business/kenyan-wanted-in-us-over-dirty-money-held-in-custody-3694992,1/27/2022,Money-Laundering
UPDF signals longer stay in DRC with new budget,https://www.theeastafrican.co.ke/tea/news/east-africa/updf-signals-longer-stay-in-drc-3694454,1/27/2022,Terrorism
Ozzie: The World's Oldest Male Gorilla Dies Aged 61 at US Zoo,https://www.tuko.co.ke/world/us/441368-ozzie-the-worlds-oldest-male-gorilla-dies-aged-61-us-zoo/,1/27/2022,Poaching
6 Kenya Power Employees Arrested over Nationwide Blackout Released Unconditionally,https://www.tuko.co.ke/kenya/441295-6-kenya-power-employees-arrested-nationwide-blackout-released-unconditionally/,1/27/2022,Terrorism
Biden nominates counter-ISIS envoy as Sudan ambassador,https://nation.africa/kenya/news/africa/biden-nominates-john-godfrey-as-sudan-ambassador-3696612,1/27/2022,Terrorism
Judiciary staff injured in Lamu Shabaab attack,https://nation.africa/kenya/counties/lamu/judiciary-staff-injured-in-lamu-shabaab-attack-3695700,1/27/2022,Terrorism
Government announces crackdown on Kenyans living below power lines,https://www.pulselive.co.ke/news/fred-matiangi-monica-juma-announce-crackdown-on-kenyans-living-below-power-lines/xtqbpdd,1/27/2022,Terrorism
Judge injured after 6 attackers opened fire on security convoy,https://www.pulselive.co.ke/news/magistrate-paul-rotich-injured-after-6-attackers-opened-fired-on-security-convoy/gnn86hc,1/27/2022,Terrorism
"Lawyers clash during Felesta Njoroge's Sh102M case, judge orders suspension",https://www.pulselive.co.ke/news/lawyers-clash-in-felesta-njoroge-sh102-million-case-judge-suspends-hearing/bgw0c8e,1/27/2022,Money-Laundering
 Where is Felista Nyamathira? Mystery of millionaire student's whereabouts ,https://www.standardmedia.co.ke/national/article/2001435712/where-is-felista-nyamathira-mystery-of-millionaire-students-whereabouts,1/27/2022,Money-Laundering
Power installations's land encroachers have 30 days to vacate ,https://www.standardmedia.co.ke/national/article/2001435737/power-installationss-land-encroachers-have-30-days-to-vacate,1/27/2022,Terrorism
Metal Dealers Welcome Ban on Sale of Scrap Amid Increased Vandalism,https://www.tuko.co.ke/business-economy/economy/441466-metal-allied-sector-members-welcome-ban-trade-scrap-metal/,1/27/2022,Terrorism
Fraud: Kenyan Primary School Dropout in Court for Conning Qatari Businessman KSh 1.1 Billi...,https://www.tuko.co.ke/kenya/441429-kenyan-school-dropout-in-court-for-defrauding-qatar-based-businessman-ksh-11-billion/,1/27/2022,Money-Laundering
Felesta Njoroge: Confusion as 2 Ladies Claim to Be Student in KSh 102m Money Laundering Ca...,https://www.tuko.co.ke/kenya/441413-confusion-women-claim-student-ksh-102m-money-laundering-case/,1/27/2022,Money-Laundering
Prince Andrew denies he was close to Maxwell,https://www.the-star.co.ke/news/world/2022-01-27-prince-andrew-denies-close-friendship-with-ghislaine-maxwell-in-us-court-files/,1/27/2022,Trafficking
"U.S Embassy in Kenya issues security alert over potential for increased crime, violence",https://citizen.digital/news/us-embassy-in-kenya-issues-security-alert-over-potential-for-increased-crime-violence-n291258,1/28/2022,Terrorism
Uhuru Assurance to Matiang'i After Meeting Top Security Bosses,https://www.kenyans.co.ke/news/72662-uhuru-assurance-matiangi-after-meeting-top-security-bosses,1/28/2022,Terrorism
How to Survive Attack in a Crowded Public Place,https://www.kenyans.co.ke/news/72646-how-survive-attack-crowded-public-place,1/28/2022,Terrorism
French Govt Issues Terror Attack Warning in Nairobi,https://www.kenyans.co.ke/news/72644-french-govt-issues-terror-attack-warning-nairobi,1/28/2022,Terrorism
"Presidential Hopeful George Wajackoyah Promises to Legalise Bhang if Elected: ""Omusala Is...",https://www.tuko.co.ke/politics/441560-presidential-hopeful-george-wajackoyah-promises-legalise-bhang-if-elected-omusala-is-okay/,1/28/2022,Drug-Trafficking
"KCB Bank Taken to Court by Ugandan Firm for Breach of Contract, Money laundering",https://www.tuko.co.ke/business-economy/money/441526-kcb-bank-taken-court-by-ugandan-firm-breach-contract-money-laundering/,1/28/2022,Money-Laundering
National Police Service Assures Kenyans of Safety amid Warnings of Impending Terror Attack,https://www.tuko.co.ke/kenya/441567-national-police-service-assures-kenyans-safety-amid-threats-impending-terror-attack/,1/28/2022,Terrorism
"European Embassies Warn of Imminent Terror Attacks in Kenya: ""Real Risk Targeting Public P...",https://www.tuko.co.ke/kenya/441541-european-embassies-warn-imminent-terror-attacks-kenya-real-risk-targeting-public-places/,1/28/2022,Terrorism
Why Ruto has changed tack in State House race,https://nation.africa/kenya/news/politics/why-ruto-changed-tack-in-quest-for-power-3697314,1/28/2022,Terrorism
US warns citizens of possible terror attack in Kenya,https://nation.africa/kenya/news/us-warns-citizens-of-possible-terror-attack-in-kenya-3697604,1/28/2022,Terrorism
Why Francophone West Africa is vulnerable to coups,https://nation.africa/kenya/news/africa/why-francophone-west-africa-is-vulnerable-to-coups-3697290,1/28/2022,Terrorism
Magistrate: how we survived Shabaab attack,https://nation.africa/kenya/news/magistrate-recounts-how-judiciary-workers-survived-shabaab-attack-3697394,1/28/2022,Terrorism
Traders avoid key Mogadishu market as ISIS imposes 'tax',https://nation.africa/kenya/news/africa/traders-avoid-key-mogadishu-market-as-isis-imposes-tax--3697342,1/28/2022,Terrorism
Lead poisoning: One woman’s unending battle in Owino Uhuru ,https://nation.africa/kenya/counties/mombasa/lead-poisoning-phyllis-omido-s-unending-battle-in-owino-uhuru--3697420,1/28/2022,Terrorism
First Cat takes up residence in Biden White House,https://nation.africa/kenya/news/world/first-cat-takes-up-residence-in-biden-white-house-3697688,1/28/2022,Terrorism
Barchok: My fallout with Isaac Ruto ,https://nation.africa/kenya/counties/bomet/hillary-barchok-my-fallout-with-isaac-ruto--3697438,1/28/2022,Terrorism
Uhuru throws August race wide open ,https://nation.africa/kenya/news/politics/uhuru-s-assent-to-coalition-parties-bill-opens-new-political-battlefront-3696948,1/28/2022,Terrorism
Terror alerts: Police urge vigilance as security beefed up,https://nation.africa/kenya/news/police-beef-up-security-amid-terror-alerts-by-european-embassies-3697278,1/28/2022,Terrorism
Rwanda to reopen border with Uganda after three years,https://nation.africa/kenya/news/africa/rwanda-to-reopen-border-with-uganda-this-month-3697150,1/28/2022,Terrorism
US voices alarm as Tigray rebels push ahead in Ethiopia,https://nation.africa/kenya/news/africa/us-voices-alarm-as-tigray-rebels-push-ahead-in-ethiopia-3697112,1/28/2022,Terrorism
"Kiraitu, Munya, Mwangaza in tough fight for governor seat ",https://nation.africa/kenya/counties/meru/kiraitu-munya-mwangaza-in-tough-fight-for-governor-seat--3697258,1/28/2022,Terrorism
Farmers to receive Sh85 million payout for crop losses,https://nation.africa/kenya/counties/taita-taveta/farmers-to-receive-sh85-million-payout-for-crop-losses-3697214,1/28/2022,Terrorism
Agony of boy shot in Mukuru slums evictions,https://nation.africa/kenya/counties/nairobi/agony-of-poor-boy-shot-in-mukuru-slums-evictions-3696434,1/28/2022,Terrorism
Confessed Mogotio ‘serial killer’ mentally unfit to stand trial,https://nation.africa/kenya/counties/baringo/confessed-mogotio-serial-killer-mentally-unfit-to-stand-trial-court-told-3696498,1/28/2022,Terrorism
 Two killed in Kerio valley bandit attacks,https://nation.africa/kenya/counties/elgeyo-marakwet/-two-killed-in-kerio-valley-bandit-attacks-3696472,1/28/2022,Terrorism
