Article_Title,Article_Link,Date,Topic
 Rwanda insists new envoy to UK takes office in the New Year despite opposition,https://www.theeastafrican.co.ke//tea/news/east-africa/rwanda-insists-new-envoy-to-uk-takes-office-in-the-new-year-despite-opposition-3658250,12/20/2021,Terrorism
 The Floating Bar of Lamu,https://www.theeastafrican.co.ke//tea/magazine/the-floating-bar-of-lamu-3658312,12/20/2021,Terrorism
 National Assembly reconvenes for special sittings ,https://www.kbc.co.ke/national-assembly-reconvenes-for-special-sittings/,12/21/2021,Money-Laundering
" Gun lover Robert Poole: Kenya’s hunting ban benefits Tanzania, reverse it ",https://www.standardmedia.co.ke/national/article/2001432378/gun-lover-robert-poole-kenyas-hunting-ban-benefits-tanzania-reverse-it,12/21/2021,Poaching
 Benin opposition leaders will not appeal jail terms: lawyers,https://www.theeastafrican.co.ke//tea/rest-of-africa/-benin-opposition-leaders-will-not-appeal-jail-terms-lawyers-3659282,12/21/2021,Terrorism
NTSA staff keep off office as DCI probe logbook scam,https://www.the-star.co.ke//news/2021-12-21-ntsa-staff-keep-off-office-as-dci-probe-logbook-scam/,12/21/2021,Terrorism
"Uhuru, Raila allies rebuff threats by Ruto camp to ...",https://www.the-star.co.ke//news/2021-12-20-uhuru-raila-allies-rebuff-threats-by-ruto-camp-to-undermine-coalition-law/,12/21/2021,Money-Laundering
"Sh287m, car linked to two foreigners frozen in dirty money probe",https://www.businessdailyafrica.com//bd/economy/sh287m-car-linked-foreigners-frozen-dirty-money-probe-3659912,12/22/2021,Money-Laundering
Lawyers fail to block Bill on dirty cash deals,https://www.businessdailyafrica.com//bd/economy/lawyers-fail-block-bill-dirty-cash-deals-3659992,12/22/2021,Money-Laundering
UN Security Council extends Amisom mandate ,https://nation.africa//kenya/news/africa/un-security-council-extends-amisom-mandate-by-three-months-3660166,12/22/2021,Terrorism
 Amisom: UN Security Council to consider temporary extension,https://nation.africa//kenya/news/africa/un-security-council-to-consider-temporary-extension-of-amison-stay--3659846,12/22/2021,Terrorism
 UN Security Council extends Amisom stay in Somalia by 3 months,https://www.theeastafrican.co.ke//tea/news/east-africa/un-security-council-mulls-extension-of-amisom-stay-in-somalia-3659960,12/22/2021,Terrorism
" How an election could help Libya, or not",https://www.theeastafrican.co.ke//tea/rest-of-africa/how-an-election-could-help-libya-or-not-3659566,12/22/2021,Terrorism
Matiang’i visits NTSA over new logbook scam,https://www.the-star.co.ke//news/2021-12-22-matiangi-visits-ntsa-over-new-logbook-scam/,12/22/2021,Terrorism
More security personnel deployed on streets as Kenyans ...,https://www.the-star.co.ke//news/2021-12-22-more-security-personnel-deployed-on-streets-as-kenyans-travel/,12/22/2021,Terrorism
Jordan princess to get Sh74bn in record divorce settlement,https://www.the-star.co.ke//news/world/2021-12-21-jordan-princess-to-get-sh74-billion-in-record-divorce-settlement/,12/22/2021,Terrorism
MBURU: The army that can clean Africa’s illicit financial pipeline,https://www.businessdailyafrica.com//bd/opinion-analysis/columnists/combating-illicit-financial-flows-africa-3660878,12/23/2021,Drug-Trafficking
 City lawyer warns Parliament of  legal battle over Money laundering bill ,https://www.kbc.co.ke/city-lawyer-warns-parliament-of-legal-battle-over-money-laundering-bill/,12/23/2021,Money-Laundering
Stiff Penalties For Wash Wash Business as MPs Approve Bill,https://www.kenyans.co.ke//news/71808-stiff-penalties-wash-wash-business-mps-approve-bill,12/23/2021,Money-Laundering
DRC faces extra hurdle in quest for EAC admission ,https://nation.africa//kenya/news/africa/drc-faces-extra-hurdle-in-quest-for-eac-admission--3661318,12/23/2021,Money-Laundering
Terrorists spread operations in Mozambique provinces,https://nation.africa//kenya/news/africa/concern-as-terrorism-spreads-from-cabo-delgado-to-niassa-in-mozambique--3660626,12/23/2021,Terrorism
Inside the rise of Lamu as Kenya’s military powerhouse,https://nation.africa//kenya/counties/lamu/inside-the-rise-of-lamu-as-kenya-s-military-powerhouse-3660168,12/23/2021,Terrorism
Law to regulate digital lenders comes into effect - CBK ,https://www.standardmedia.co.ke/business/news/article/2001432565/law-to-regulate-digital-lenders-comes-into-effect-cbk,12/23/2021,Money-Laundering
 DR Congo faces extra hurdle in quest for EAC admission,https://www.theeastafrican.co.ke//tea/news/east-africa/dr-congo-faces-extra-hurdle-in-quest-for-eac-admission-3661494,12/23/2021,Money-Laundering
 Ethiopia government claims capture of Tigrayan city from rebels,https://www.theeastafrican.co.ke//tea/rest-of-africa/ethiopia-government-claims-capture-tigrayan-city-from-rebels-3661316,12/23/2021,Terrorism
" MPs want to just chill in Arusha but if they won’t fix EAC, scrap it!",https://www.theeastafrican.co.ke//tea/oped/comment/mps-want-to-just-chill-in-arusha-but-if-they-fix-eac-scrap-it-3660998,12/23/2021,Terrorism
Radical changes expected at NTSA over illegal logbooks,https://www.the-star.co.ke//news/2021-12-23-ntsa-staff-to-undergo-scrutiny-as-probe-into-logbook-scam-goes-on/,12/23/2021,Terrorism
Sonko's Daughter Sandra Shares Fun Clip of Satrine Osinya Riding Quad Bike During Getaway,https://www.tuko.co.ke/entertainment/celebrities/437922-sonkos-daughter-sandra-shares-fun-clip-satrine-osinya-riding-a-quad-bike-getaway/,12/23/2021,Terrorism
Student in Sh102m row says KRA cleared cash,https://www.businessdailyafrica.com//bd/economy/student-sh102m-row-says-kra-cleared-cash-3661114,12/24/2021,Money-Laundering
Digital lenders to disclose source of funds in CBK dirty cash fight,https://www.businessdailyafrica.com//bd/markets/capital-markets/digital-lenders-disclose-source-of-funds-cbk-dirty-cash-fight-3661954,12/24/2021,Money-Laundering
US retains Kenya for Sh56bn poverty eradication grant,https://www.businessdailyafrica.com//bd/markets/capital-markets/us-retains-kenya-sh56bn-poverty-eradication-grant-3661014,12/24/2021,Terrorism
Drama-comedy looks at gender-based violence with clear eyes,https://www.businessdailyafrica.com//bd/lifestyle/art/drama-comedy-looks-at-gender-based-violence-3661868,12/24/2021,Terrorism
Fighting escalates in Puntland's port city of Bossaso,https://nation.africa//kenya/news/africa/clashes-between-security-forces-escalates-in-puntland-s-bossaso-city-3661674,12/24/2021,Terrorism
"KQ to cut jobs, fleet size, routes in Sh113bn turnaround plan",https://nation.africa//kenya/business/kenya-airways-to-cut-jobs-fleet-size-in-recovery-plan-3662092,12/24/2021,Terrorism
 Uganda charges 15 with terrorism over deadly bombings,https://www.theeastafrican.co.ke//tea/news/east-africa/uganda-charges-15-with-terrorism-over-deadly-bombings-3662504,12/24/2021,Terrorism
 Too many gorillas? The great apes' hunt for space in Rwanda,https://www.theeastafrican.co.ke//tea/magazine/too-many-gorillas-the-great-apes-hunt-for-space-in-rwanda-3661676,12/24/2021,Poaching
The economic pains of human-wildlife conflict,https://www.businessdailyafrica.com//bd/data-hub/the-economic-pains-human-wildlife-conflict-3662002,12/28/2021,Poaching
The substances they use to spike your drinks,https://nation.africa/kenya/healthy-nation/the-mchele-they-use-to-spike-your-drinks-3664576,12/28/2021,Drug-Trafficking
Death toll in DRC Christmas bombing rises to eight,https://nation.africa/kenya/news/africa/death-toll-in-drc-christmas-bombing-rises-to-eight-3664332,12/28/2021,Terrorism
 Pan-Africanism or impunity? The divisive Tigray crimes issue,https://www.theeastafrican.co.ke//tea/rest-of-africa/pan-africanism-or-impunity-the-divisive-tigray-crimes-issue-3665266,12/28/2021,Terrorism
"Popular Kenyans, Politicians Whose Deaths Shook the Nation in 2021",https://www.tuko.co.ke/kenya/438424-10-politicians-popular-kenyan-deaths-shook-nation-2021/,12/29/2021,Terrorism
Another Sh49m gift to salon owner by boyfriend frozen,https://www.businessdailyafrica.com//bd/economy/another-sh49m-gift-salon-owner-by-boyfriend-frozen-3667040,12/30/2021,Money-Laundering
Somalia spy agency defends detaining ex-Shabaab chief,https://nation.africa/kenya/news/africa/somalia-spy-agency-defends-detaining-ex-shabaab-chief-3667152,12/30/2021,Terrorism
British socialite convicted of sex trafficking,https://nation.africa/kenya/life-and-style/showbiz/british-socialite-ghislaine-maxwell-convicted-of-sex-trafficking-3667058,12/30/2021,Trafficking
Christmas at the Plaza Hallmark cast profiles and photos,https://www.tuko.co.ke/facts-lifehacks/tv-movies/438235-christmas-plaza-hallmark-cast-profiles-photos/,12/30/2021,Trafficking
"Don't Act Dead, Make Loud Noise and 5 Other Tips to Avoid Hyena Attack",https://www.tuko.co.ke/kenya/counties/438521-dont-act-dead-make-loud-noise-5-other-tips-avoid-hyena-attack/,12/30/2021,Terrorism
"Bishop David Githinji, Other Controversial Preachers Who Hit Headlines in 2021",https://www.tuko.co.ke/kenya/438298-7-controversial-preachers-2021-david-githinji-child-support-sheikh-ngao/,12/30/2021,Trafficking
"BUWEMBO: MPs want to just chill in Arusha, but should fix EAC",https://www.theeastafrican.co.ke/tea/oped/comment/mps-want-to-just-chill-in-arusha-but-if-they-fix-eac-scrap-it-3660998,12/30/2021,Terrorism
The great apes' hunt for space in Rwanda,https://www.theeastafrican.co.ke/tea/magazine/too-many-gorillas-the-great-apes-hunt-for-space-in-rwanda-3661676,12/30/2021,Poaching
The Floating Bar of Lamu,https://www.theeastafrican.co.ke/tea/magazine/the-floating-bar-of-lamu-3658312,12/30/2021,Terrorism
IKUNDA: Search for jobs outside country makes sense,https://www.businessdailyafrica.com//bd/opinion-analysis/letters/search-jobs-outside-country-makes-sense-3668066,12/31/2021,Terrorism
